offset,abbreviation
UTC±00:00,Atlantic/Reykjavik
UTC+01:00,Africa/Algiers
UTC+02:00,Africa/Blantyre
UTC+03:00,Africa/Addis_Ababa
UTC+03:30,Asia/Tehran
UTC+04:00,Asia/Baku
UTC+04:30,Asia/Kabul
UTC+05:00,Antarctica/Davis
UTC+05:30,Asia/Calcutta
UTC+05:45,Asia/Kathmandu
UTC+06:00,Asia/Almaty
UTC+06:30,Asia/Rangoon
UTC+07:00,Asia/Bangkok
UTC+08:00,Asia/Brunei
UTC+08:45,Australia/Eucla
UTC+09:00,Asia/Jayapura
UTC+09:30,Australia/North
UTC+10:00,Antarctica/DumontDUrville
UTC+10:30,Australia/LHI
UTC+11:00,Antarctica/Casey
UTC+11:30,Pacific/Norfolk
UTC+12:00,Antarctica/South_Pole
UTC+12:45,Pacific/Chatham
UTC+13:00,Pacific/Fakaofo
UTC+14:00,Pacific/Kiritimati
UTC−11:00,Pacific/Midway
UTC−10:00,America/Adak
UTC−09:30,Pacific/Marquesas
UTC−09:00,America/Anchorage	
UTC−08:00,America/Dawson
UTC−07:00,America/Boise
UTC−06:00,America/Bahia_Banderas
UTC−05:00,America/Atikokan
UTC−04:30,America/Caracas
UTC−04:00,America/Anguilla
UTC−03:30,America/St_Johns
UTC−03:00,America/Araguaina
UTC−02:00,America/Noronha
